Ligand_Name,Binding_Affinity_kcal_mol,Fingerprint_1024b,MolWeight,LogP,H_Donors,H_Acceptors,TPSA,fr_benzene,fr_Ar_OH,fr_NH2,fr_NH1,fr_amide,fr_COO,fr_Ar_N,fr_ester,fr_ketone,fr_sulfonamd
mol_490.pdbqt,-9.661,0100000000001000000000000000000011000000001000000000000000000000100000000010000110000000000000000000001000000000001001010000000010000000000000000000000000000001100000000000000100000100000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000001010000000000000000001000000000000010010000000000000000000000000000010000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000000001000000000000010000010110000000000000000000000100000010000010000000000000000000010000000001000100010000101000001000000000000000000010000000000000000000000000000000000000001000000000000000000000000000001000000000001000000010000000000000001000000000000101000010000110000000000000000000000000010000000010010000000000010000000000000000000000000000000000000000000000010000000100000000000010000,552.7160000000005,2.5748000000000006,3,7,103.37,2,0,0,2,2,0,0,0,0,0
mol_1164.pdbqt,-9.777,0101000000000000000001000000000001000000000000000000000000000000100000000000000010000000000000000000000000000000100000000000000010000000000000000001001000000000010000000000000100000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000001000000000100000000000000000100000000000000000100000000000000000000000000000010100010000000011000010000000000000000010000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000100000000010010000000000000000100000000001000000010000000000000000000000000000000000000100000000000000000000000000100000001000000010000100100010000000010000000000001000000000000000000000000000100010000000000010010000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000010000,536.6500000000003,4.633620000000004,2,5,113.01,3,0,0,1,1,1,0,0,0,1
mol_560.pdbqt,-10.075,0101000000000000100000000000000001000000001000000000000000000000100000000000000110000000000000100000000000000000001001000000000010000000000000000000000000000000000000000000000100000000000000000000010000000000100010000000000000010001010000000000010000000001000000000000000000000000000010000000000000000000000000100000000000000000000000000100000000000000000010000000100000010001000010000001010010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000000000000001100000000000000000000011000000000001001000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000001000000000010000000000000000000000000000001000110010000000000001000010000000000000000000000000000010000000000000000000000001000000000000000000000100000100000000000001000000010000000000000000000000000000000000010000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000,616.7590000000001,3.0523000000000016,6,7,149.02,3,0,0,4,3,0,0,0,0,0
mol_167.pdbqt,-9.627,0000000000000010000000000000000000000000000000000100000000100000100000000000000010000000000000000000001000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000001000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000010000010000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000101000000000000000000000000000010000000000000000000000000000001000110000000001000000010000000000000000000000000000000000000000000000000001000001000000000000000100000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000100000000000000000000010000,634.7510000000001,2.8508,4,8,140.00000000000003,4,0,0,0,0,0,0,0,0,0
mol_832.pdbqt,-9.504,0100100000000000000000000000000001000000001000001000000000000000100001000000000110000010000000000000000000000000001011000000000010000000000000000000000000000001000100000000000100000000000001000000000000000000000000000000000000010000000000000000010000000000000000000000100000001000000000000000000000000100001000000000000000000000000000000000000000000000001010000000000000000001000000000000010010000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000001000000010000000000000000000000000000000001000000000001010000000000000001000000001000000000010000000000001000000000000010000000100000000000100000000000000000010000000000000000000000000000000000001000100000100100000001000000000000001000000000000000000000000000000000001000000001000000000000000000000000000001001000000101000000010000000000000000000000000000001010010000100000000000000000000000000010000000010000000000000000010000000000000000000000000000000000000000000010000000000000000001010000,636.9030000000001,4.308300000000003,4,6,110.77000000000001,2,0,0,3,3,0,0,0,0,0
mol_562.pdbqt,-9.321,0000000000000000000000000000000001000000010000000000000000000000100000000000000010000000000000000000001000000000100010000000000010000000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000010000000000000000000000000000000100000000000000000000001000000000000000000000000000000000100000000000000000000001000000000010000000000000000000000000000000010000000000000000100000000000000010000010000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000010000000000000000000000000000001000010000000000000000010000000000000000000000000000000100000000000000000001000001000000000000000100000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000010000000100000000000000000000010000,536.6070000000002,-1.0421999999999947,4,8,157.74,2,0,0,2,2,0,0,0,0,0
mol_230.pdbqt,-10.269,0100100000000001000000000000000001000000001000100000000010000000100000000000000110000000000000000000000010000000000000010000000010000000000000000000000000000000000000000000000100000000000000010000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000100000000001000000100000000000010000100000000001000000000010000000010000010000000000000000000000000000000010000000001000000000000000000000000000000000000000000001000100010000000000000000000100000000000000000000000000000100000000000000000100000000000000000000000000000000000010001000000000000000010100100000000001000000010000100000000000000000000000000000000000000000010000010010000000000000000000000000000000000000000000100000000000100000000001000100010000000011000000000000000000000000001000000000000000000000000000000000001000000001000000000000000000000010000000001000000010000000000000000010000000100000000000000000000000000000000000000000010000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000010000,564.1030000000001,7.077800000000006,2,5,96.60999999999999,3,1,0,1,0,0,0,0,0,1
mol_1584.pdbqt,-11.957,0000000000000001000000000000000001000000001000100000000000000000100000000011000010000000001010001000000000000000000000010000000010000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100011000000000000000000000000000000000000000010000101000000000000001010000000010000100000000000000000000000000000000000001000000000000000000000000010000100000000000000000000001000000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000011000000001000000000000000000000000001000000000000010000000000000000000000000000000000000000000000010000000010000000000000000001000100000000001001000000100000001000000000001000010100000000000001000000000000001000000000000000100000001000000000000000001000000000000000000000000010000100000000000110000000000010000000001000000001000000000010000000000000000000000000100000000000000000000000000000000001100000000000000000000010000,680.8090000000001,5.900820000000006,4,6,134.68,4,0,0,2,3,0,3,0,0,0
mol_571.pdbqt,-10.435,0000000000000000000000000000000000000000001000000000000000000001100000000000000010000000000010000000000000100000000000010100000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000100000100010000000100000000000000000000000000000000010000001000000000000000010000000010000000000000000000000000000000000000000001000000000000000000000000010000100000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000110000000001001000000100000001000000000000000010000000000000000000000000000001000000000000000100000001000000000000000001000000000000000000000000010000000000010000110000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001100000000000000000000010000,552.7150000000003,5.184400000000006,3,4,84.24000000000001,4,0,0,0,2,0,0,0,0,0
mol_734.pdbqt,-9.277,0100000000000000000000000000000001000000001000000000000000000000100000000000000010000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000100000000000000000000100000000010000000000000000000000000000000000000000010000000000000000000000010000000010000000000000000100000000000000000000000001000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000110000000100000000000100000000000000000000000010000000000000000000000000000001000000000000000100000000000010000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001100000000000000000000010000,494.7200000000004,5.540800000000006,2,3,64.01,2,0,0,0,2,0,0,0,0,0
mol_223.pdbqt,-10.3,0000000000000000000000000000000000000000001000000000000000000000100000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000100000000000000000000000000000010000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000001000010000100000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000010000000000000000001000100000000001000000000100000001000000000000000000000000000000000000000000000001000000000000000100000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001100000000000000000000010000,538.6440000000002,4.480000000000005,4,5,104.47000000000001,4,2,0,0,2,0,0,0,0,0
mol_610.pdbqt,-9.144,0100000000001000000000000000000001000000001000000000000000000000100100000010000110010000000000100000000000000000001001000000000010000000000100000000000000000001000000000000000110000100000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000001000000001010000000000000000001001000000000010010000000000000000000000000000000000000000000100000000101000000001000000000000000000000000000000000000000000000000001000100000000000000000001000000010001000000000000000000000000000001000001000100000000000000000001000000011000000000000000000000001000000000000010000010100000000000000001010000100000010000000000000000000010000000000000001000100000000101000001010000000000000000010010000000000000000000000000000000000001000000010000000000000000000001000000000001000000010000000000000001000000010000101000010000100000000000000000000000000010000000010000000000010000000000000000000000000000000000000000000000000010000000000000000100010000,698.96,2.9551000000000025,4,10,143.03000000000003,1,0,0,3,4,0,2,0,0,0
mol_1856.pdbqt,-9.781,0100100000000000000000000000000001000000001000000000000000000000100000000000100110000000000000000000001000000000000001010001000010000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000000010000000000000000000000001000000000000000000000000000010000000000000000000100001000000000000100100000000000000000000000000010000010010010000000000001000000000000010000000000010000000000000000010000000000000000000100000000000010000000000000000000000000000010010000000010010000000000000010000000000000000000000000000100000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000000010000010000000000000000000000000000100000000010000000000000000000100100000001000100010000000000001000000000000000000000000000000000100000000000000001000100001000000010000000000000001000011000100000001000000010000000000000000000000010000001010010000010000000000000000010000101010000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000010000,590.6950000000004,3.0199000000000016,2,9,132.86,2,0,0,1,1,0,0,0,0,1
mol_909.pdbqt,-8.994,0100000000000000000000000000000001000000001000000000000000000000100000000000000110000000000000000000000000000000000000000100000010000000000000000000000000000000000000100000000100000000000000000000000100000100000000000000000000010000000000000000000000000000000000000000000000000000001100000000000000000000100000000000000100100000000000000000000000000010000011000000000000000001000001000000010000000000000000000000000001010000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000010000010000000000000000000000000000000000000010000000000010000000100100000001000100000000000100001000000000000000000000000000000000100000000000000000000000001000000010000000100000001000010000100000001000000010000000000000000000100010000001000000001000000000000000000010000100010000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000,555.7190000000004,1.4807000000000017,2,7,125.47999999999999,2,0,0,1,0,0,0,0,0,1
mol_20.pdbqt,-10.038,0000000000000001000001000100000001000000001000000000000000000000100000010000000010000000000010000000000000000000000000000000000010000000000000000100000000000000000000000000000100000000000000000000000000000000000000000001000000000000010000000000000000000000000001000000000000000000000000000000000000000000000001000010000000000000000000000000000001000000000011000100000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000010000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000101010000000000000000000000000000001000100000000000000000000000000000000000000000000010000000000000000010000001000001000000000000000100000000100000000100000001000000000000000000000000010000000000000000010000100000001000000000000000000000000000010000000000000000000000000100000000000000000000100000001000000000000000000000000000010000,578.6650000000003,5.680000000000006,1,6,96.38000000000001,4,0,0,0,2,0,0,2,0,0
mol_1611.pdbqt,-8.626,0100000000010001000000000000000001001000000000000000000000010000100000000000000010000000000000000000000000000000000000000100000010000000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000010001000000000011000000000001000000000000000000000001000000000000000000010000000000000000000100000010000000010000110000000000000000001001000000000010000000010000000000000000000000000000010000000000000000000000010000000000010000000000000100000000000000000000000100000000000100000100000000000000000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010100010000000000000000000000000000001000000000000000100000000000000000000001000000000000000011000000100000000000000000000000000000000000000000011000000000001000000000000000000000000000000000001000001000010000001000000000000010000000000000000001000000000000000000000000000000010000010110000100000000010000000000010000000010000000000000000000000000000000000000000000000000000,475.61100000000016,4.8125000000000036,2,6,110.52,1,0,0,1,0,0,2,0,1,1
mol_1137.pdbqt,-9.68,0000000000000000000001000000000001000000001000000000000000000000100000010000000010000000000010000000000000000000000000000000000010000000000000000100000000000000000000000000000100000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000001000000000011000100000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000010000000000000000000000100000000000000000101010000000000000000000000000000001000100000000000000000000000000000000000000000000010000000000000000010000001000001000000000000000100000000100000000100000001000000000000000000000000000000000000000000010000100000001000000000000000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000010000,578.6650000000003,5.680000000000006,1,6,96.38000000000001,4,0,0,0,2,0,0,2,0,0
mol_1765.pdbqt,-6.447,0000000000000000000000000000000010000001000000000000000000100010000000000000010010000000000000000000000000000000000000010000001000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000100000000001000000000000000000000000000000000000000000000100000000100000000000000000010000000000000000000000000000000010000001000001000000000000100000000000000000000000000000000000000001000000000000000000000000100000000000000000000000000001000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000001000000000000000000000001000000000000000001000000000000010000000000000000000000000000000001000000100000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000110000,229.21099999999998,-0.5566000000000002,2,5,90.37,0,0,1,0,0,0,2,0,0,0
mol_1381.pdbqt,-9.906,0000000000000011000000000000000000000000010000000000000000000010100000000000000010000000000000000000001000000000100010000000000010000000100000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000010000000100000000000000000010000100000000000000000000001000000000000000000100100000001000100000000000000000000000000000000010000000000000000000001000010100010000000000000000000000000000000010000010000000000000000000000000000000000100000100000000000000000000000000000001000000000000000000000000000000000000000001000000000010000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000010000101000000001000000000000000000010000000000000000000000000000001000110001000001000000010000000000000000000000000000000000000000001000000001000001000000000000000100000000000000000010000001000010000000000000000000000000000000000000010010000000010000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000100000000000000000000010000,706.8680000000002,4.4897000000000045,3,10,141.53000000000003,3,0,0,1,1,0,1,0,0,0
mol_1065.pdbqt,-10.672,0100100000000000000000000000000001000001001000000000000000000000100000010000000110000000000000000000001010000000000011000001000010000000000000000000010000000000000000000000000100000000000100000000000000000001100000000000000000010000000000000000000000001000000000000000000000000000010000000000000000000100001000000001000000100000000000000010000000000000000010010000000000000001000000000000010000000000000000000000000000000000000000000000000101000000000000001000000000000100000000000010010000000000000000000100000010000000000000000000000000000100000000000000000000000000000000000000001001000000000000001000000000001000000000100000000010000000000000000010001010000000000000000000000000000100000000010000000000000000000000100000001000100010000000000001000000000000000000000000000000000100000000000000001000100001000000000000000000000000000001000100000001000000010000000000000000010000010000001000010000110000000000000000000000001010010000010000000000001010010000000000000000000010000000000000001000000000000000000010000000010000,630.7600000000001,3.654700000000002,2,9,132.86,2,0,0,1,1,0,0,0,0,1
mol_1232.pdbqt,-9.465,0101000000000000000001000000000001000000000000000000000000000000100000000000000010000000000000000000000000000000100000000000000010000000000000000001001000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000100100000000000001000000000100000000000000000100000000000000000100010000000000000000000000000010100010000000011000010000000000000000010000000000000000001001000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010001000000000000100000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000010000000000000000000000000000001000000010000100000000000000000000000000000000100000000000000000000000000000000001000000010000100100010000000010000000000001001000000000000000000000000100010000010000010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000010000,564.7040000000003,5.495500000000005,2,5,113.01,3,0,0,1,1,1,0,0,0,1
mol_1704.pdbqt,-10.26,0000000000000000000000000000000000000000000000000100000000100000100000000000000010000000000010000000001000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100010000000100000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000010000010000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000010000000000000000000000000000000000010000000000000000000000000000001000100000000001000000010100000001000000000000000000000000000000000000000000000001000000000000000100000000000001000000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001100000000000000000000010000,598.6960000000003,3.726000000000004,4,7,122.93000000000002,4,0,0,0,2,0,0,0,0,0
