Ligand_Name,Binding_Affinity_kcal_mol
mol_1736.pdbqt,-8.96
mol_1648.pdbqt,-11.461
mol_326.pdbqt,-9.131
mol_504.pdbqt,-10.408
mol_639.pdbqt,-9.797
mol_190.pdbqt,-8.683
mol_1476.pdbqt,-10.048
mol_1753.pdbqt,-9.252
mol_790.pdbqt,-9.712
mol_1546.pdbqt,-9.142
mol_611.pdbqt,-9.15
mol_202.pdbqt,-9.944
mol_632.pdbqt,-10.818
mol_85.pdbqt,-9.65
mol_717.pdbqt,-9.154
mol_592.pdbqt,-8.195
mol_423.pdbqt,-9.934
mol_1501.pdbqt,-10.321
mol_1857.pdbqt,-8.923
mol_18.pdbqt,-10.115
mol_1414.pdbqt,-10.067
mol_891.pdbqt,-9.547
mol_1035.pdbqt,-12.162
mol_749.pdbqt,-10.612
mol_162.pdbqt,-10.672
mol_928.pdbqt,-9.638
mol_740.pdbqt,-9.506
mol_1968.pdbqt,-10.875
mol_1344.pdbqt,-10.188
mol_1924.pdbqt,-9.442
mol_1215.pdbqt,-10.673
mol_210.pdbqt,-8.738
mol_63.pdbqt,-11.22
mol_2.pdbqt,-3.848
mol_976.pdbqt,-12.514
mol_1917.pdbqt,-10.583
mol_957.pdbqt,-6.76
mol_670.pdbqt,-9.742
mol_655.pdbqt,-9.89
mol_1140.pdbqt,-10.034
mol_1073.pdbqt,-10.157
mol_1944.pdbqt,-10.409
mol_253.pdbqt,-9.629
mol_1895.pdbqt,-10.237
mol_147.pdbqt,-9.578
mol_1359.pdbqt,-9.806
mol_1590.pdbqt,-9.738
mol_1784.pdbqt,-7.988
mol_217.pdbqt,-11.101
mol_952.pdbqt,-9.198
mol_407.pdbqt,-10.239
mol_1050.pdbqt,-10.002
mol_1768.pdbqt,-9.799
mol_436.pdbqt,-7.524
mol_884.pdbqt,-9.621
mol_1945.pdbqt,-8.975
mol_1897.pdbqt,-10.346
mol_249.pdbqt,-9.302
mol_469.pdbqt,-9.877
mol_1775.pdbqt,-8.357
mol_413.pdbqt,-0.615
mol_15.pdbqt,-10.315
mol_191.pdbqt,-8.931
mol_1483.pdbqt,-10.312
mol_1851.pdbqt,-6.95
mol_1509.pdbqt,-9.15
mol_1747.pdbqt,-8.548
mol_81.pdbqt,-10.312
mol_1187.pdbqt,-8.732
mol_896.pdbqt,-8.551
mol_1447.pdbqt,-8.872
mol_870.pdbqt,-9.208
mol_1456.pdbqt,-9.874
mol_235.pdbqt,-9.696
mol_1543.pdbqt,-10.392
mol_1649.pdbqt,-10.177
mol_211.pdbqt,-9.872
mol_1338.pdbqt,-9.967
mol_1819.pdbqt,-9.507
mol_966.pdbqt,-10.199
mol_1763.pdbqt,-8.424
mol_1787.pdbqt,-9.193
mol_1952.pdbqt,-10.413
mol_280.pdbqt,-11.462
mol_709.pdbqt,-9.823
mol_1876.pdbqt,-9.946
mol_1237.pdbqt,-9.49
mol_1314.pdbqt,-8.956
mol_623.pdbqt,-11.207
mol_481.pdbqt,-9.663
mol_852.pdbqt,-10.02
mol_1323.pdbqt,-9.69
mol_907.pdbqt,-10.353
mol_370.pdbqt,-10.064
mol_808.pdbqt,-10.251
mol_1942.pdbqt,-8.291
mol_771.pdbqt,-9.536
mol_508.pdbqt,-5.842
mol_1220.pdbqt,-10.565
mol_34.pdbqt,-8.453
mol_885.pdbqt,-9.424
mol_205.pdbqt,-10.089
mol_597.pdbqt,-9.365
mol_252.pdbqt,-10.748
mol_1275.pdbqt,-7.862
mol_87.pdbqt,-9.827
mol_590.pdbqt,-10.438
mol_353.pdbqt,-9.847
mol_841.pdbqt,-10.389
mol_1540.pdbqt,-9.217
mol_1022.pdbqt,-9.677
mol_977.pdbqt,-8.464
mol_1960.pdbqt,-9.94
mol_511.pdbqt,-10.63
mol_561.pdbqt,-9.038
mol_696.pdbqt,-8.559
mol_586.pdbqt,-10.379
mol_794.pdbqt,-10.072
mol_35.pdbqt,-10.124
mol_1578.pdbqt,-8.908
mol_1754.pdbqt,-9.332
mol_708.pdbqt,-10.471
mol_758.pdbqt,-9.498
mol_438.pdbqt,-10.734
mol_688.pdbqt,-8.419
mol_1080.pdbqt,-10.328
mol_1843.pdbqt,-8.626
mol_1093.pdbqt,-9.566
mol_579.pdbqt,-8.735
mol_1457.pdbqt,-10.195
mol_1547.pdbqt,-10.052
mol_201.pdbqt,-10.164
mol_1191.pdbqt,-9.103
mol_518.pdbqt,-8.944
mol_474.pdbqt,-8.959
mol_1552.pdbqt,-8.706
mol_391.pdbqt,-10.215
mol_800.pdbqt,-10.046
mol_774.pdbqt,-9.489
mol_1218.pdbqt,-8.651
mol_965.pdbqt,-10.338
mol_1604.pdbqt,-9.486
mol_152.pdbqt,-6.556
mol_1714.pdbqt,-9.179
mol_673.pdbqt,-9.159
mol_1849.pdbqt,-7.49
mol_1561.pdbqt,-9.682
mol_42.pdbqt,-9.888
mol_563.pdbqt,-12.118
mol_289.pdbqt,-9.927
mol_1565.pdbqt,-10.756
mol_244.pdbqt,-8.497
mol_513.pdbqt,-10.374
mol_614.pdbqt,-9.553
mol_1473.pdbqt,-9.453
mol_142.pdbqt,-10.443
mol_231.pdbqt,-10.75
mol_777.pdbqt,-9.302
mol_240.pdbqt,-10.325
mol_1692.pdbqt,-9.647
mol_728.pdbqt,-10.231
mol_997.pdbqt,-10.091
mol_1308.pdbqt,-10.96
mol_1276.pdbqt,-9.656
mol_703.pdbqt,-10.179
mol_1101.pdbqt,-9.964
mol_1040.pdbqt,-9.649
mol_510.pdbqt,-9.884
mol_1626.pdbqt,-9.49
mol_507.pdbqt,-10.021
mol_1014.pdbqt,-8.911
mol_595.pdbqt,-10.496
mol_1932.pdbqt,-9.575
mol_1420.pdbqt,-11.277
mol_346.pdbqt,-10.126
mol_5.pdbqt,-7.035
mol_246.pdbqt,-10.025
mol_1841.pdbqt,-9.472
mol_128.pdbqt,-10.407
mol_664.pdbqt,-10.136
mol_1158.pdbqt,-9.269
mol_1908.pdbqt,-10.258
mol_256.pdbqt,-8.691
mol_517.pdbqt,-9.941
mol_181.pdbqt,-8.056
mol_1958.pdbqt,-8.987
mol_192.pdbqt,-10.471
mol_416.pdbqt,-8.607
mol_1950.pdbqt,-9.945
mol_1306.pdbqt,-9.14
mol_1033.pdbqt,-7.193
mol_1200.pdbqt,-10.114
mol_1985.pdbqt,-10.449
mol_1589.pdbqt,-8.929
mol_27.pdbqt,-9.663
mol_1891.pdbqt,-9.955
mol_569.pdbqt,-9.113
mol_1422.pdbqt,-9.202
mol_861.pdbqt,-10.4
mol_967.pdbqt,-10.439
mol_1467.pdbqt,-9.7
mol_1793.pdbqt,-9.018
mol_1826.pdbqt,-9.776
mol_182.pdbqt,-9.161
mol_241.pdbqt,-10.072
mol_1989.pdbqt,-7.929
mol_1175.pdbqt,-8.988
mol_1036.pdbqt,-9.815
mol_969.pdbqt,-9.494
mol_1672.pdbqt,-8.681
mol_1871.pdbqt,-11.069
mol_500.pdbqt,-9.271
mol_1517.pdbqt,-7.595
mol_342.pdbqt,-10.049
mol_558.pdbqt,-9.267
mol_11.pdbqt,-9.918
mol_1670.pdbqt,-9.568
mol_33.pdbqt,-9.751
mol_343.pdbqt,-9.607
mol_795.pdbqt,-9.403
mol_337.pdbqt,-8.553
mol_339.pdbqt,-10.336
mol_1530.pdbqt,-9.059
mol_17.pdbqt,-9.845
mol_1160.pdbqt,-9.092
mol_725.pdbqt,-9.061
mol_1192.pdbqt,-10.064
mol_902.pdbqt,-9.261
mol_815.pdbqt,-10.407
mol_730.pdbqt,-9.216
mol_1783.pdbqt,-10.29
mol_755.pdbqt,-10.051
mol_866.pdbqt,-4.847
mol_194.pdbqt,-9.792
mol_1124.pdbqt,-9.534
mol_1664.pdbqt,-9.995
mol_1326.pdbqt,-8.734
mol_650.pdbqt,-10.487
mol_665.pdbqt,-9.36
mol_16.pdbqt,-10.789
mol_52.pdbqt,-9.953
mol_1890.pdbqt,-9.257
mol_1848.pdbqt,-10.454
mol_263.pdbqt,-9.568
mol_175.pdbqt,-9.498
mol_1914.pdbqt,-9.916
mol_105.pdbqt,-8.378
mol_1603.pdbqt,-8.269
mol_1458.pdbqt,-9.152
mol_1171.pdbqt,-9.858
mol_1974.pdbqt,-9.581
mol_1446.pdbqt,-8.538
mol_268.pdbqt,-10.717
mol_1881.pdbqt,-9.42
mol_451.pdbqt,-9.077
mol_97.pdbqt,-10.739
mol_1139.pdbqt,-9.584
mol_1239.pdbqt,-7.762
mol_1354.pdbqt,-9.135
mol_1336.pdbqt,-8.397
mol_1468.pdbqt,-7.52
mol_1630.pdbqt,-10.402
mol_1254.pdbqt,-10.648
mol_1556.pdbqt,-9.621
mol_1095.pdbqt,-9.776
mol_933.pdbqt,-9.201
mol_854.pdbqt,-10.58
mol_865.pdbqt,-9.763
mol_359.pdbqt,-9.891
mol_1936.pdbqt,-9.289
mol_179.pdbqt,-10.858
mol_1480.pdbqt,-9.77
mol_228.pdbqt,-9.66
mol_122.pdbqt,-8.898
mol_1245.pdbqt,-10.826
mol_766.pdbqt,-8.635
mol_944.pdbqt,-9.208
mol_1212.pdbqt,-9.006
mol_1153.pdbqt,-8.693
mol_287.pdbqt,-10.714
mol_1531.pdbqt,-8.501
mol_49.pdbqt,-10.085
mol_130.pdbqt,-8.543
mol_784.pdbqt,-10.451
mol_785.pdbqt,-8.749
mol_1056.pdbqt,-8.407
mol_236.pdbqt,-9.277
mol_905.pdbqt,-10.345
mol_695.pdbqt,-9.403
mol_739.pdbqt,-9.904
mol_1657.pdbqt,-9.836
mol_1145.pdbqt,-8.894
mol_158.pdbqt,-9.83
mol_757.pdbqt,-9.785
mol_1168.pdbqt,-9.06
mol_816.pdbqt,-8.791
mol_530.pdbqt,-9.275
mol_1569.pdbqt,-7.779
mol_129.pdbqt,-8.365
mol_1852.pdbqt,-9.878
mol_133.pdbqt,-8.023
mol_995.pdbqt,-9.581
mol_769.pdbqt,-9.674
mol_798.pdbqt,-10.412
mol_827.pdbqt,-9.171
mol_1325.pdbqt,-9.481
mol_1818.pdbqt,-9.829
mol_362.pdbqt,-9.151
mol_1668.pdbqt,-9.53
mol_1268.pdbqt,-10.086
mol_1402.pdbqt,-8.523
mol_29.pdbqt,-8.785
mol_1201.pdbqt,-9.947
mol_1916.pdbqt,-8.547
mol_565.pdbqt,-8.195
mol_1566.pdbqt,-8.886
mol_1416.pdbqt,-10.527
mol_1789.pdbqt,-9.126
mol_254.pdbqt,-11.251
mol_260.pdbqt,-9.553
mol_857.pdbqt,-9.161
mol_449.pdbqt,-10.224
mol_879.pdbqt,-10.115
mol_828.pdbqt,-11.825
mol_526.pdbqt,-10.096
mol_1628.pdbqt,-9.064
mol_868.pdbqt,-9.39
mol_1114.pdbqt,-8.521
mol_348.pdbqt,-8.697
mol_1769.pdbqt,-9.701
mol_1267.pdbqt,-9.016
mol_388.pdbqt,-9.651
mol_874.pdbqt,-9.837
mol_157.pdbqt,-10.728
mol_1549.pdbqt,-7.574
mol_1873.pdbqt,-9.401
mol_384.pdbqt,-10.839
mol_1006.pdbqt,-10.28
mol_1858.pdbqt,-10.104
mol_1645.pdbqt,-9.391
mol_123.pdbqt,-7.968
mol_1620.pdbqt,-9.209
mol_1360.pdbqt,-10.155
mol_13.pdbqt,-9.432
mol_1493.pdbqt,-8.647
mol_605.pdbqt,-9.003
mol_1274.pdbqt,-9.436
mol_1273.pdbqt,-7.069
mol_1452.pdbqt,-6.644
mol_401.pdbqt,-8.617
mol_900.pdbqt,-10.005
mol_1918.pdbqt,-10.045
mol_30.pdbqt,-9.232
mol_1426.pdbqt,-10.079
mol_535.pdbqt,-9.147
mol_1277.pdbqt,-10.106
mol_1889.pdbqt,-9.274
mol_1949.pdbqt,-9.352
mol_424.pdbqt,-10.388
mol_2000.pdbqt,-10.048
mol_1389.pdbqt,-7.611
mol_618.pdbqt,-8.381
mol_715.pdbqt,-9.276
mol_487.pdbqt,-9.237
mol_1159.pdbqt,-9.072
